ambito,ciudad,categoria,nombre,logo,redes,evidencia,fuente_ids
Regional,Bogotá,Restaurantes,Restaurante El Bogotano,,instagram=https://instagram.com/elbogotano,Declaración propia,f-022
Regional,Bogotá,Servicios,Ferretería El Tornillo,,facebook=https://facebook.com/eltornillo,Declaración propia,f-020
Regional,Bogotá,Belleza,Salón de Belleza Glamour,,instagram=https://instagram.com/salonglamour,Declaración propia,f-018
Regional,Bogotá,Moda,Tienda Moda Bella,,tiktok=https://tiktok.com/@modabella;instagram=https://instagram.com/modabella,Declaración propia,f-009
Regional,Bogotá,Hotelería,Hotel Estrella,https://hotelestrella.com/logo.png,instagram=https://instagram.com/hotelestrella;web=https://hotelestrella.com,Prensa,f-015
Regional,Cali,Bares,Bar La Rumba,assets/logos/bar-la-rumba-cali.png,instagram=https://instagram.com/barlarumbacali,Prensa,f-002
Regional,Bogotá,Salud,Óptica Visión Clara,,x=https://x.com/visionclara;web=https://visionclara.com,Declaración propia,f-024
Regional,Bogotá,Cafeterías,Café Central Bogotá,,web=https://cafecentral.co,Evento público,f-017
Regional,Bogotá,Educación,Librería Central,assets/logos/libreria-central.png,facebook=https://facebook.com/libreriacentral,Declaración propia,f-014
Regional,Bogotá,Mascotas,Veterinaria Patitas,assets/logos/veterinaria-patitas.png,facebook=https://facebook.com/vetpatitas;instagram=https://instagram.com/vetpatitas,Declaración propia,f-004
Regional,Bogotá,Celebridades,Ana Torres (Actriz),,tiktok=https://tiktok.com/@anatorres;instagram=https://instagram.com/anatorresoficial,Declaración propia,f-029
Regional,Bogotá,Salud,Clínica Dental Sonrisa,,instagram=https://instagram.com/clinicasonrisa,Prensa,f-023
Regional,Bogotá,Influencers,María López (Influencer),,instagram=https://instagram.com/marialopezinfluencer;tiktok=https://tiktok.com/@marialopez,Prensa,f-006
Regional,Bogotá,Cafeterías,Café El Aroma,assets/logos/cafe-el-aroma.png,x=https://x.com/cafelaroma;instagram=https://instagram.com/cafelaroma,Declaración propia,f-007
Regional,Bogotá,Bares,Bar La Rumba,assets/logos/bar-la-rumba.png,instagram=https://instagram.com/barlarumba;facebook=https://facebook.com/barlarumba,Prensa,f-002
Regional,Medellín,Restaurantes,Restaurante El Sabor,,instagram=https://instagram.com/elsabormed,Evento público,f-025
Regional,Bogotá,Restaurantes,Cadena Gourmet Bogotá,https://cadenagourmet.com/logo.png,instagram=https://instagram.com/cadenagourmet;web=https://cadenagourmet.com,Prensa,f-012
Regional,Bogotá,Panadería,Panadería La Espiga,,instagram=https://instagram.com/panaderiaespiga,Declaración propia,f-026
Nacional,,Grandes Superficies,Almacenes El Éxito,assets/logos/almacenes-el-exito.png,instagram=https://instagram.com/exito;web=https://exito.com,Declaración propia,f-001
Regional,Medellín,Tecnología,MedTech Solutions,,web=https://medtechsolutions.co,Evento público,f-025
Regional,Bogotá,Salud,Gimnasio FitPlus,https://fitplus.com.co/logo.png,instagram=https://instagram.com/fitplusbog;web=https://fitplus.com.co,Declaración propia,f-013
Regional,Bogotá,Servicios,Taller Mecánico AutoPro,,facebook=https://facebook.com/autopro,Declaración propia,f-028
Nacional,,Consultoría,Consultoría Estratégica JMP,,web=https://consultoriajmp.com,Prensa,f-010
Regional,Medellín,Influencers,Carlos Gómez (Influencer),,instagram=https://instagram.com/carlosgomezinfluencer;youtube=https://youtube.com/@carlosgomez,Prensa,f-027
Regional,Cali,Restaurantes,Restaurante El Sabor,assets/logos/restaurante-el-sabor-cali.png,instagram=https://instagram.com/elsaborcali,Evento público,f-005
Regional,Bogotá,Farmacia,Farmacia Salud Total,,instagram=https://instagram.com/farmaciasaludtotal,Declaración propia,f-030
Nacional,,Tecnología,TechStart Colombia,assets/logos/techstart.png,x=https://x.com/techstartco;web=https://techstart.co,Prensa,f-019
Regional,Bogotá,Viajes,Agencia de Viajes Explora,assets/logos/agencia-explora.png,x=https://x.com/exploraviajes;web=https://exploraviajes.com,Declaración propia,f-016
Regional,Bogotá,Restaurantes,Restaurante El Sabor,assets/logos/restaurante-el-sabor.png,instagram=https://instagram.com/elsabor;web=https://elsabor.com.co,Declaración propia,f-003
Regional,Medellín,Cafeterías,Café El Aroma Medellín,,instagram=https://instagram.com/cafelaromamed,Declaración propia,f-007
Regional,Barranquilla,Restaurantes,Restaurante Costeño,,instagram=https://instagram.com/restcosteno,Por determinar,
Regional,Bogotá,Educación,Academia Políglota,,youtube=https://youtube.com/@academiapoliglota,Declaración propia,f-021
Nacional,,Grandes Superficies,Cadena de Supermercados Olímpica,https://olimpica.com/logo.png,instagram=https://instagram.com/olimpica;facebook=https://facebook.com/olimpica,Prensa,f-012
Regional,Bogotá,Bares,Bar Nocturno Centro,,instagram=https://instagram.com/barnocturnobog,Declaración propia,f-011
Regional,Bogotá,Tecnología,Desarrollos Digitales,,instagram=https://instagram.com/desarrollosdig,Prensa,f-010
Regional,Bogotá,Deportes,Club Deportivo Élite,,facebook=https://facebook.com/clubelite,Declaración propia,f-016
Regional,Bogotá,Deportes,Tienda Deportiva ProSport,,instagram=https://instagram.com/prosportbog,Evento público,f-017
Regional,Bogotá,Tecnología,Software Solutions SAS,,web=https://softwaresolutions.co,Declaración propia,f-019
